label,use_encoder,torso_fx,torso_fy,torso_fz,left_fx,left_fy,left_fz,right_fx,right_fy,right_fz,total_force_mag,survival_time,success,tracking_rmse_vx,tracking_rmse_vy,tracking_rmse_xy,mean_orientation_err
Torso|0N|zero,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,True,0.0503,0.0754,0.0906,0.0613
Torso|2N|+X,True,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,True,0.0518,0.0745,0.0908,0.0624
Torso|2N|-X,True,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,True,0.0483,0.0761,0.0901,0.0596
Torso|2N|+Y,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,True,0.0514,0.0751,0.091,0.0615
Torso|2N|-Y,True,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,True,0.0492,0.0766,0.091,0.0611
Torso|2N|+Z,True,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,True,0.0498,0.075,0.0901,0.061
Torso|2N|-Z,True,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,True,0.0501,0.0756,0.0907,0.0611
Torso|5N|+X,True,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,True,0.0568,0.0746,0.0937,0.0647
Torso|5N|-X,True,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,True,0.0472,0.0779,0.0911,0.0578
Torso|5N|+Y,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,True,0.0558,0.0753,0.0937,0.0624
Torso|5N|-Y,True,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,True,0.0497,0.0772,0.0918,0.0622
Torso|5N|+Z,True,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,True,0.0498,0.0747,0.0898,0.0607
Torso|5N|-Z,True,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,True,0.0503,0.0757,0.0909,0.0613
Torso|8N|+X,True,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,True,0.0619,0.0737,0.0963,0.0674
Torso|8N|-X,True,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,True,0.0474,0.0798,0.0928,0.0561
Torso|8N|+Y,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,True,0.0602,0.0749,0.0961,0.064
Torso|8N|-Y,True,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,True,0.0522,0.0776,0.0935,0.0639
Torso|8N|+Z,True,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,True,0.0494,0.0747,0.0895,0.0606
Torso|8N|-Z,True,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,True,0.0505,0.0765,0.0917,0.0618
Torso|10N|+X,True,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,True,0.0645,0.0741,0.0983,0.069
Torso|10N|-X,True,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,True,0.0489,0.0812,0.0948,0.0551
Torso|10N|+Y,True,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,True,0.0648,0.0734,0.098,0.0652
Torso|10N|-Y,True,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,True,0.0544,0.078,0.0951,0.0653
Torso|10N|+Z,True,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,True,0.0491,0.0744,0.0892,0.0606
Torso|10N|-Z,True,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,True,0.0509,0.0762,0.0916,0.0621
Torso|15N|+X,True,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,True,0.0722,0.0748,0.1039,0.073
Torso|15N|-X,True,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,True,0.0547,0.0863,0.1022,0.0524
Torso|15N|+Y,True,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,True,0.0769,0.0736,0.1065,0.0685
Torso|15N|-Y,True,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,True,0.0606,0.0784,0.0991,0.0681
Torso|15N|+Z,True,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,True,0.0491,0.0733,0.0883,0.0602
Torso|15N|-Z,True,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,True,0.0512,0.0773,0.0927,0.0623
Torso|20N|+X,True,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,True,0.076,0.0774,0.1085,0.0769
Torso|20N|-X,True,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,True,0.0662,0.0895,0.1113,0.0497
Torso|20N|+Y,True,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,True,0.088,0.0764,0.1165,0.0717
Torso|20N|-Y,True,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,True,0.0647,0.0795,0.1024,0.0708
Torso|20N|+Z,True,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,True,0.0492,0.0724,0.0876,0.0602
Torso|20N|-Z,True,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,True,0.0518,0.0779,0.0936,0.0627
Torso|25N|+X,True,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,True,0.0774,0.0813,0.1123,0.0807
Torso|25N|-X,True,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,True,0.0777,0.0935,0.1216,0.0492
Torso|25N|+Y,True,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,True,0.0964,0.082,0.1265,0.0751
